ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
10.2035,186.0349,22887.4776,6.2928,242.0005,330.0283,7.1444,46.3307,3.8727,1
7.0033,174.2311,16313.3571,5.1669,275.0556,368.4933,9.5482,79.5234,4.0966,1
7.9939,193.6923,20285.3974,7.6888,325.7578,391.2166,14.2851,58.7928,3.9791,1
9.0917,212.9209,16143.442,3.7641,,391.6167,11.5908,58.8336,3.6284,1
5.286,219.8391,27609.6732,5.5389,380.7415,494.2332,16.2343,38.477,4.8484,0
8.645,226.1208,25651.5589,13.0,378.1214,514.4884,13.3379,62.1608,4.4136,0
7.4833,243.9755,34934.0074,8.7772,,610.8297,16.7152,74.9684,4.194,0
7.7044,154.6162,36814.8303,6.4869,289.6993,512.4846,11.4587,59.3913,3.201,1
5.266,225.5336,18986.3674,8.4845,342.7761,626.9169,13.0594,99.422,3.7671,0
8.2077,181.0787,20156.4107,8.6918,306.68,316.0913,13.4297,43.582,1.5,1
8.395,177.0662,9984.7983,4.6758,,360.9573,11.4305,74.2743,3.1397,1
6.3826,213.8119,21903.3914,8.9758,308.77,380.0785,13.8017,41.1584,2.9687,0
,239.4878,11319.65,10.0666,390.3365,487.3908,22.2886,84.2144,3.4204,0
6.1646,229.3595,22928.9305,5.3204,362.606,383.4251,10.7207,63.3652,3.4143,1
7.0735,228.8496,24754.6994,6.7741,,370.664,14.9593,82.1464,3.4494,1
8.8263,292.5768,34345.3597,8.2252,292.6818,278.0055,17.4835,97.0817,5.3771,0
6.4619,238.4334,16179.3975,5.9709,316.719,489.0251,15.4491,68.2491,5.5392,0
8.2895,199.3776,26953.3092,8.3553,375.5899,475.3826,18.0544,54.8994,4.636,0
6.2298,137.9611,19041.4172,8.9592,309.2651,522.3871,18.1805,68.7328,3.5842,0
,202.7318,15127.7178,5.5615,331.7731,423.7231,10.159,42.9519,3.4665,1
5.6847,150.5329,28348.2288,7.7382,373.8532,449.7827,20.784,76.5524,4.6638,0
,202.0692,24390.1452,8.9214,,450.9122,10.8337,,3.5197,0
10.0956,201.5005,21942.6752,8.4134,359.829,520.5708,12.3626,65.8726,3.9571,0
8.5944,216.212,38314.6954,7.0448,352.329,348.1061,14.4345,45.8826,3.1104,0
6.5131,194.6016,15507.3386,9.3463,333.6291,374.7875,20.8319,54.977,5.3157,0
8.103,227.0423,14309.7853,5.0305,380.6061,441.0494,14.8112,72.7366,3.4649,0
9.9247,183.1757,13028.6414,5.3969,277.8244,453.7201,7.8812,56.941,2.8575,1
3.9212,251.5744,16156.5041,7.8483,274.9245,431.5999,12.603,72.1286,4.3271,0
9.0708,152.0894,25115.2816,2.6798,364.3023,469.1423,16.6532,73.544,4.5325,0
4.3686,226.8273,24881.248,6.9509,373.7847,590.0001,13.1127,51.8159,4.2733,0
,186.6756,27075.9203,4.3065,,366.4114,10.3264,44.9223,4.855,1
6.5992,180.7077,25529.8034,7.8314,,485.8794,16.6824,50.0,3.8573,0
6.1426,209.3674,30559.2277,5.1466,350.9876,448.4792,13.2641,97.4267,5.9412,0
8.5147,150.2428,18518.4483,8.0912,354.0326,526.7733,11.7127,57.0253,4.8523,0
6.6826,207.2221,20964.1881,8.0,304.0691,297.9425,9.4894,61.7936,3.0621,1
6.4686,170.383,13723.6428,4.4852,364.1725,395.5811,10.7386,50.4651,3.46,1
8.0425,215.6362,24557.4643,6.7837,351.209,408.395,13.5531,79.4316,5.7739,0
8.3474,200.6701,21921.2008,5.8117,410.788,385.5647,12.6833,65.8707,4.7467,1
,175.1526,17198.118,7.8891,,519.1236,17.23,87.4644,4.9575,0
,281.6539,31140.5828,8.7274,300.4993,414.2239,17.7918,,4.0182,0
,160.0367,30320.1423,7.7739,,357.5839,13.2501,,5.6793,0
7.2311,174.2236,13354.8325,7.6842,279.8683,543.6323,8.4665,49.4571,4.179,1
6.08,206.5216,26030.0211,7.0792,396.2521,380.2384,20.8964,63.0877,3.024,0
5.9478,175.5417,25409.3891,8.3356,387.7313,438.6095,12.1088,83.5897,3.4178,0
,193.0302,24051.1284,7.6573,298.2089,594.1524,13.0207,75.6983,5.2679,0
9.203,195.4249,23234.8873,3.038,355.6643,441.6366,22.4055,94.3876,4.5533,0
7.403,177.7207,13405.2158,6.8488,347.0299,263.5183,11.0077,69.1326,3.3817,1
6.7027,162.5178,15669.1396,7.2173,404.4249,370.2084,19.1252,97.3154,5.0517,0
7.0297,235.8512,36459.2993,10.0553,349.3265,496.4677,12.3373,81.0213,3.4477,0
6.6285,180.278,24571.2207,5.6243,335.8447,364.0225,9.3498,47.7519,4.6887,1
7.1732,152.757,20027.7047,8.7233,253.9426,505.2686,20.2517,81.0277,5.0585,0
6.6527,173.9465,21965.3044,8.1276,315.0041,485.8177,16.762,66.2833,3.6332,0
6.4268,212.9022,31799.2401,7.3489,346.8217,598.937,12.2362,77.2454,5.831,0
9.6407,202.8802,29397.2011,6.9736,339.3595,511.3427,11.5708,58.6399,3.4424,1
6.959,200.0828,14405.5331,3.768,,523.1243,14.65,66.1422,3.4482,0
7.9806,226.6085,26658.9516,8.5867,311.0969,389.4319,7.9402,86.2052,3.6336,1
7.1382,176.6217,12908.5654,8.4198,316.2235,499.965,14.2452,54.1133,4.0306,1
,190.8537,21200.2254,7.8649,346.7556,409.584,12.9853,76.2361,3.0961,1
7.6955,219.559,14959.9543,7.2957,,330.9249,14.9578,,5.1745,0
,216.3303,7232.9564,7.0054,,312.6295,14.1347,60.3014,3.5134,0
8.6738,257.3741,19495.7166,6.1067,401.9941,341.0499,19.125,53.1555,5.075,0
7.8627,222.6761,26187.7693,10.0407,360.5575,364.2905,14.3609,72.1169,4.5862,0
5.618,245.9372,21614.6212,6.8115,,472.5289,6.9108,67.5304,3.9372,0
7.6806,165.2616,16896.2776,7.3702,283.1306,318.2821,14.9967,62.4123,4.3075,1
5.8966,240.4027,27593.7085,7.974,321.999,457.3281,15.997,56.3396,3.2167,0
9.2668,285.8027,48324.6253,8.79,338.2522,577.833,24.2359,,4.8381,0
5.347,218.6828,29234.7492,6.9729,366.1522,316.746,15.6403,90.6414,2.9869,0
7.362,175.1237,17297.1281,5.2821,357.0596,525.6207,13.1691,57.7281,2.9826,1
8.8646,196.2341,22858.3053,5.6953,287.6828,585.8949,9.8975,22.5662,3.0723,1
7.1912,155.3995,20643.0436,5.8312,358.0186,475.9259,13.1298,42.828,3.8605,1
7.2415,255.0406,22586.3081,7.2688,249.1276,515.4103,16.0039,61.245,4.7151,0
8.4372,171.8542,26595.7981,6.9376,,439.5202,9.5378,95.1774,3.4207,0
6.087,187.1309,26930.1487,10.3724,347.7222,295.6133,15.6657,75.9637,3.9098,0
,212.3152,33129.757,6.548,282.0302,523.2494,15.0933,57.5687,3.1803,0
9.3632,176.1118,19178.833,4.5134,,396.6849,9.4399,44.3214,4.3831,1
,222.23,17197.2508,6.7025,291.5585,407.7448,11.748,104.2551,5.5282,1
7.5894,180.5884,21189.7159,5.0171,332.5305,449.5099,13.7485,103.1871,4.1265,0
3.1486,188.6479,19988.9939,8.7536,385.8102,572.4327,18.1558,58.1333,4.8926,0
9.1562,220.0547,19587.6217,4.6051,369.9364,238.5101,11.2301,44.4508,3.8546,1
9.469,156.2952,37157.0634,4.9012,320.1072,268.041,11.8835,42.3094,3.4917,1
7.4162,166.6789,21763.2385,4.1989,327.3018,498.6283,15.0356,42.0852,4.8091,1
7.9476,242.8071,9426.0785,5.524,295.2426,432.7678,10.3879,89.8017,4.4956,0
5.2507,201.4322,7970.0842,7.744,293.5045,476.8425,13.8139,66.983,3.4819,0
7.7238,142.9642,19411.4512,6.4917,339.2555,450.255,13.4304,45.7105,4.0606,1
8.1562,239.105,19285.1397,6.6705,287.9621,555.0006,12.5711,67.1509,3.246,0
,241.2831,26657.0587,8.0127,,493.0818,17.5834,73.2289,4.2028,0
7.4135,223.0397,11126.0929,6.5912,332.3726,566.0159,14.2116,66.5528,3.0598,1
5.1231,201.5031,20722.1839,8.6604,,424.9015,13.385,56.3959,2.8144,1
,165.0389,17976.8843,8.5487,416.2029,378.3226,15.2599,103.5649,4.8828,0
8.3605,182.2531,27735.824,11.5779,333.834,549.5007,19.9842,68.8427,2.5286,0
,252.7087,27824.1257,6.0746,384.4147,536.3356,17.3431,79.167,4.952,0
7.0559,259.2375,27230.078,8.0,360.7156,334.9449,12.567,72.742,3.2819,1
,225.7821,16411.3388,6.2989,,361.0296,12.4512,61.2908,2.9606,1
7.689,149.0315,19278.3372,6.0589,,458.1972,13.2781,43.2998,4.152,1
7.1868,191.3567,25433.5409,4.78,,328.8836,12.4752,40.2983,3.4337,1
6.7503,172.1011,4607.6948,6.5504,,297.398,12.2877,70.0151,2.8787,1
7.86,187.4179,7072.7235,6.0838,362.0327,404.6905,8.747,61.1453,4.8777,1
5.1865,189.3178,29675.6853,7.8889,,584.809,19.8021,58.3078,3.6867,0
6.5203,212.6969,14281.0002,6.9429,291.5476,440.5473,9.7941,61.4266,3.2307,1
5.7563,173.3907,20785.4831,9.9113,299.0323,362.545,10.167,76.9152,2.557,0
6.8118,161.5632,19896.0211,4.9733,,326.7988,11.5312,57.3792,3.0843,1
7.0509,203.314,33665.9743,7.2077,406.9514,416.9305,8.9341,87.1217,5.2205,0
5.7159,168.1654,33183.4353,5.9394,329.0165,494.4261,18.6226,98.2458,4.5213,0
7.2239,172.1857,8209.3609,5.3647,,408.6489,11.1015,73.0001,3.2553,1
,108.8683,33661.8021,6.4563,272.1046,370.0754,14.1668,77.0761,3.7799,1
6.0789,199.6625,8185.776,6.5399,,361.4946,13.5451,58.7527,3.8051,1
6.5238,154.2242,20028.044,7.1503,,396.4866,19.3179,109.0282,3.751,0
7.7805,120.5157,25093.9082,6.0787,291.2611,346.9432,14.5161,57.6326,4.366,1
4.8656,180.9865,26523.525,7.7187,319.1306,589.9244,18.5532,77.209,4.332,0
6.5158,226.0224,24802.6812,8.8406,358.593,547.9518,15.9816,62.9127,5.2094,0
3.6581,179.7607,29054.1618,9.7415,305.4336,439.2548,22.0989,89.8102,4.3365,0
,227.777,22445.2676,5.3433,,489.1802,13.3516,50.9675,2.9875,1
7.364,198.7811,17726.632,6.5952,334.122,354.7734,14.0894,92.1403,3.9701,0
